date, pm25, pm10, o3, no2, so2, co
2022/5/18, 113, 64, 20, 16, 10, 9
2022/5/19, 122, 63, 23, 16, 10, 10
2022/5/20, 113, 71, 22, 17, 9, 13
2022/5/21, 143, 65, 21, 18, 12, 9
2022/5/22, 114, 77, 24, 19, 12, 11
2022/5/23, 137, 79, 24, 18, 12, 13
2022/5/24, 142, 73, 27, 15, 13, 11
2022/5/25, 107, 73, 32, 10, 13, 9
2022/5/26, 122, 76, 32, 17, 11, 12
2022/5/27, 131, 68, 27, 14, 9, 12
2022/5/28, 121, 58, 24, 9, 7, 12
2022/5/29, 91, 59, 24, 12, 7, 12
2022/5/30, 97, 61, 23, 12, 11, 8
2022/5/31, 100, 65, 22, 9, 11, 10
2022/6/1, 110, 63, 24, 13, 9, 9
2022/6/2, 109, 64, 25, 14, 11, 12
2022/6/3, 108, 63, 22, 12, 10, 8
2022/6/4, 106, 78, 17, 11, 11, 12
2022/6/5, 152, 70, 22, 11, 10, 9
2022/6/6, 126, 65, 29, 12, 10, 8
2022/6/7, 102, 63, 29, 12, 10, 7
2022/6/8, 116, 68, 21, 14, 11, 9
2022/6/9, 122, 76, 25, 13, 10, 11
2022/6/10, 134, 69, 26, 12, 10, 9
2022/6/11, 107, 69, 27, 14, 12, 9
2022/6/12, 112, 68, 27, 13, 11, 9
2022/6/13, 111, , , , , 
2022/6/17, 120, , , , , 
2022/6/20, 110, 63, 33, 13, 10, 13
2022/6/21, 125, 63, 24, 14, 9, 10
2022/6/22, 113, 67, 20, 14, 10, 17
2022/6/23, 122, 61, 19, 16, 12, 21
2022/6/24, 106, 50, 9, 15, 11, 10
2022/6/25, 69, 50, 9, 15, 11, 10
2022/6/26, 69, 50, 9, 15, 11, 10
2022/6/27, 69, 53, 16, 14, 12, 7
2022/6/28, 80, 54, 14, 14, 11, 6
2022/6/29, 86, 56, 15, 13, 13, 8
2022/6/30, 100, 60, 12, 11, 12, 7
2022/1/3, 108, 48, 18, 20, 11, 9
2022/1/4, 100, , , , , 
2022/1/6, 125, 59, 14, 15, 9, 7
2022/1/7, 109, 60, 12, 18, 5, 7
2022/1/8, 26, 60, 12, 17, 5, 7
2022/1/9, 57, 56, 12, 14, 7, 9
2022/1/10, 88, 55, 16, 16, 8, 9
2022/1/11, 85, 53, 19, 10, 8, 9
2022/1/12, 112, 54, 19, 6, 8, 9
2022/1/13, 119, 45, 20, 11, 8, 9
2022/1/14, 157, 50, 20, 14, 9, 10
2022/1/15, 147, 60, 11, 17, 7, 9
2022/1/16, 145, 59, 17, 14, 8, 9
